product_name,price,num_colors,is_new
Essentials Oversized Fleece Hoodie,$70,6,False
Shmoofoil Featherweight Hoodie (Gender Neutral),$95,0,False
adidas Z.N.E. Full-Zip Hoodie,$61,7,False
Dugout Short Sleeve Hoodie (Gender Neutral),$56,4,False
Essentials Oversized Fleece Hoodie,$70,6,False
ALL SZN Fleece Loose Hoodie,$60,7,False
Neuclassics Hoodie,$85,0,False
Essentials Oversized Fleece Hoodie,$70,6,False
Essentials 3-Stripes Full-Zip Fleece Hoodie,$36,5,False
adidas x FARM Hoodie,$70,0,False
Holiday Graphic 3-Stripes Oversized Hoodie,$42,3,False
Essentials Oversized Fleece Hoodie,$35,6,False
Essentials 3-Stripes French Terry Crop Hoodie,$60,3,False
adidas by Stella McCartney Sportswear Cropped Hoodie,$120,2,False
Dugout Short Sleeve Hoodie (Gender Neutral),$53,4,False
Trefoil Torch Hoodie,$75,0,False
Travis Hunter Heisman Winner Hoody,$60,0,False
adidas x MOON BOOT Cropped Hoodie,$95,0,False
adidas by Stella McCartney Sportswear Cropped Hoodie,$120,2,False
Designed 4 Training Full-Zip Hooded Sweatshirt,$70,2,False
Trefoil Cropped Hoodie,$49,2,False
Ultimate365 Half-Zip Layering Top,$43,5,False
Essentials 3-Stripes French Terry Crop Hoodie,$60,3,False
Graphics Crew Sweatshirt,$65,2,False
Dugout Short Sleeve Hoodie,$53,4,False
Ultimate365 Half-Zip Layering Top,$51,5,False
adidas by Stella McCartney Sportswear Cropped Hoodie,$120,2,False
Beyond Full-Zip Hoodie,$130,0,False
Y-3 Tech Seersucker Zip Hoodie,$150,0,False
FL HOODIE,$125,0,False
Graphics Crew Sweatshirt,$65,2,False
Essentials Oversized Fleece Hoodie (Plus Size),$70,0,False
adidas Z.N.E. Full-Zip Hoodie,$110,7,False
Holiday Graphic 3-Stripes Oversized Hoodie,$42,3,False
Ultimate365 Half-Zip Layering Top,$51,5,False
Ultimate365 Half-Zip Layering Top,$60,5,False
adidas Z.N.E. Full-Zip Hoodie,$110,7,False
Y-3 Graphic Hoodie,$300,0,False
Performance Golf Hoodie,$35,4,False
Tiro 24 Sweat Hoodie,$65,2,False
Holiday Graphic 3-Stripes Oversized Hoodie,$42,3,False
Suede Oversized Sweatshirt,$80,0,False
4.0 Logo Hoodie (Gender Neutral),$75,0,False
Performance Golf Hoodie,$70,4,False
Designed 4 Training Full-Zip Hooded Sweatshirt,$70,2,False
Trefoil Cropped Hoodie,$49,2,False
LOVB Hoodie,$70,0,False
adidas by Stella McCartney Sportswear Cropped Hoodie,$120,2,False
adidas by Stella McCartney Sportswear Cropped Hoodie,$120,2,False
adidas by Stella McCartney Sportswear Cropped Hoodie,$120,2,False
Y-3 Tech Seersucker Zip Hoodie,$150,0,False
adidas Z.N.E. Full-Zip Hoodie,$110,7,False
adidas x FARM Hoodie,$70,0,False
Graphics Crew Sweatshirt,$65,2,False
Beyond Full-Zip Hoodie,$130,0,False
Y-3 Graphic Hoodie,$300,0,False
